Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,asymmetric,0.9099999999999999,-10.54994499652164
100% Corpus,3,asymmetric,symmetric,-10.636534684051115
100% Corpus,4,0.01,0.01,-9.960040668067526
100% Corpus,4,0.01,0.31,-9.858758160668543
100% Corpus,4,0.01,0.61,-10.006777756560496
100% Corpus,4,0.01,0.9099999999999999,-10.232144901309006
100% Corpus,4,0.01,symmetric,-9.726369303602997
100% Corpus,4,0.31,0.01,-10.725794567949972
100% Corpus,4,0.31,0.31,-10.306668162139303
100% Corpus,4,0.31,0.61,-10.47963314239806
100% Corpus,4,0.31,0.9099999999999999,-9.813059039363793
100% Corpus,4,0.31,symmetric,-10.065507358179422
100% Corpus,4,0.61,0.01,-11.781189500455708
100% Corpus,4,0.61,0.31,-10.592214841611941
100% Corpus,4,0.61,0.61,-10.325991627564068
100% Corpus,4,0.61,0.9099999999999999,-10.170943894649394
100% Corpus,4,0.61,symmetric,-10.672383478945488
100% Corpus,4,0.9099999999999999,0.01,-10.9670448901984
100% Corpus,4,0.9099999999999999,0.31,-9.452237395543142
100% Corpus,4,0.9099999999999999,0.61,-9.669890121506795
100% Corpus,4,0.9099999999999999,0.9099999999999999,-9.208645485846779
100% Corpus,4,0.9099999999999999,symmetric,-10.300474224839098
100% Corpus,4,symmetric,0.01,-10.35483144752033
100% Corpus,4,symmetric,0.31,-10.087090323898321
100% Corpus,4,symmetric,0.61,-10.262133291295942
100% Corpus,4,symmetric,0.9099999999999999,-10.199546698197837
100% Corpus,4,symmetric,symmetric,-9.678775929435755
100% Corpus,4,asymmetric,0.01,-9.852784038709114
100% Corpus,4,asymmetric,0.31,-10.215075943083576
100% Corpus,4,asymmetric,0.61,-10.650297445406903
100% Corpus,4,asymmetric,0.9099999999999999,-10.54994499652164
100% Corpus,4,asymmetric,symmetric,-10.636534684051115
100% Corpus,5,0.01,0.01,-9.960040668067526
100% Corpus,5,0.01,0.31,-9.858758160668543
100% Corpus,5,0.01,0.61,-10.006777756560496
100% Corpus,5,0.01,0.9099999999999999,-10.232144901309006
100% Corpus,5,0.01,symmetric,-9.726369303602997
100% Corpus,5,0.31,0.01,-10.725794567949972
100% Corpus,5,0.31,0.31,-10.306668162139303
100% Corpus,5,0.31,0.61,-10.47963314239806
100% Corpus,5,0.31,0.9099999999999999,-9.813059039363793
100% Corpus,5,0.31,symmetric,-10.065507358179422
100% Corpus,5,0.61,0.01,-11.781189500455708
100% Corpus,5,0.61,0.31,-10.592214841611941
100% Corpus,5,0.61,0.61,-10.325991627564068
100% Corpus,5,0.61,0.9099999999999999,-10.170943894649394
100% Corpus,5,0.61,symmetric,-10.672383478945488
100% Corpus,5,0.9099999999999999,0.01,-10.9670448901984
100% Corpus,5,0.9099999999999999,0.31,-9.452237395543142
100% Corpus,5,0.9099999999999999,0.61,-9.669890121506795
100% Corpus,5,0.9099999999999999,0.9099999999999999,-9.208645485846779
100% Corpus,5,0.9099999999999999,symmetric,-10.300474224839098
100% Corpus,5,symmetric,0.01,-10.35483144752033
100% Corpus,5,symmetric,0.31,-10.087090323898321
100% Corpus,5,symmetric,0.61,-10.262133291295942
100% Corpus,5,symmetric,0.9099999999999999,-10.199546698197837
100% Corpus,5,symmetric,symmetric,-9.678775929435755
100% Corpus,5,asymmetric,0.01,-9.852784038709114
100% Corpus,5,asymmetric,0.31,-10.215075943083576
100% Corpus,5,asymmetric,0.61,-10.650297445406903
100% Corpus,5,asymmetric,0.9099999999999999,-10.54994499652164
100% Corpus,5,asymmetric,symmetric,-10.636534684051115
100% Corpus,6,0.01,0.01,-9.960040668067526
100% Corpus,6,0.01,0.31,-9.858758160668543
100% Corpus,6,0.01,0.61,-10.006777756560496
100% Corpus,6,0.01,0.9099999999999999,-10.232144901309006
100% Corpus,6,0.01,symmetric,-9.726369303602997
100% Corpus,6,0.31,0.01,-10.725794567949972
100% Corpus,6,0.31,0.31,-10.306668162139303
100% Corpus,6,0.31,0.61,-10.47963314239806
100% Corpus,6,0.31,0.9099999999999999,-9.813059039363793
100% Corpus,6,0.31,symmetric,-10.065507358179422
100% Corpus,6,0.61,0.01,-11.781189500455708
100% Corpus,6,0.61,0.31,-10.592214841611941
100% Corpus,6,0.61,0.61,-10.325991627564068
100% Corpus,6,0.61,0.9099999999999999,-10.170943894649394
100% Corpus,6,0.61,symmetric,-10.672383478945488
100% Corpus,6,0.9099999999999999,0.01,-10.9670448901984
100% Corpus,6,0.9099999999999999,0.31,-9.452237395543142
100% Corpus,6,0.9099999999999999,0.61,-9.669890121506795
100% Corpus,6,0.9099999999999999,0.9099999999999999,-9.208645485846779
100% Corpus,6,0.9099999999999999,symmetric,-10.300474224839098
100% Corpus,6,symmetric,0.01,-10.35483144752033
100% Corpus,6,symmetric,0.31,-10.087090323898321
100% Corpus,6,symmetric,0.61,-10.262133291295942
100% Corpus,6,symmetric,0.9099999999999999,-10.199546698197837
100% Corpus,6,symmetric,symmetric,-9.678775929435755
100% Corpus,6,asymmetric,0.01,-9.852784038709114
100% Corpus,6,asymmetric,0.31,-10.215075943083576
100% Corpus,6,asymmetric,0.61,-10.650297445406903
100% Corpus,6,asymmetric,0.9099999999999999,-10.54994499652164
100% Corpus,6,asymmetric,symmetric,-10.636534684051115
100% Corpus,7,0.01,0.01,-9.960040668067526
100% Corpus,7,0.01,0.31,-9.858758160668543
100% Corpus,7,0.01,0.61,-10.006777756560496
100% Corpus,7,0.01,0.9099999999999999,-10.232144901309006
100% Corpus,7,0.01,symmetric,-9.726369303602997
100% Corpus,7,0.31,0.01,-10.725794567949972
100% Corpus,7,0.31,0.31,-10.306668162139303
100% Corpus,7,0.31,0.61,-10.47963314239806
100% Corpus,7,0.31,0.9099999999999999,-9.813059039363793
100% Corpus,7,0.31,symmetric,-10.065507358179422
100% Corpus,7,0.61,0.01,-11.781189500455708
100% Corpus,7,0.61,0.31,-10.592214841611941
100% Corpus,7,0.61,0.61,-10.325991627564068
100% Corpus,7,0.61,0.9099999999999999,-10.170943894649394
100% Corpus,7,0.61,symmetric,-10.672383478945488
100% Corpus,7,0.9099999999999999,0.01,-10.9670448901984
100% Corpus,7,0.9099999999999999,0.31,-9.452237395543142
100% Corpus,7,0.9099999999999999,0.61,-9.669890121506795
100% Corpus,7,0.9099999999999999,0.9099999999999999,-9.208645485846779
100% Corpus,7,0.9099999999999999,symmetric,-10.300474224839098
100% Corpus,7,symmetric,0.01,-10.35483144752033
100% Corpus,7,symmetric,0.31,-10.087090323898321
100% Corpus,7,symmetric,0.61,-10.262133291295942
100% Corpus,7,symmetric,0.9099999999999999,-10.199546698197837
100% Corpus,7,symmetric,symmetric,-9.678775929435755
100% Corpus,7,asymmetric,0.01,-9.852784038709114
100% Corpus,7,asymmetric,0.31,-10.215075943083576
100% Corpus,7,asymmetric,0.61,-10.650297445406903
100% Corpus,7,asymmetric,0.9099999999999999,-10.54994499652164
100% Corpus,7,asymmetric,symmetric,-10.636534684051115
100% Corpus,8,0.01,0.01,-9.960040668067526
100% Corpus,8,0.01,0.31,-9.858758160668543
100% Corpus,8,0.01,0.61,-10.006777756560496
100% Corpus,8,0.01,0.9099999999999999,-10.232144901309006
100% Corpus,8,0.01,symmetric,-9.726369303602997
100% Corpus,8,0.31,0.01,-10.725794567949972
100% Corpus,8,0.31,0.31,-10.306668162139303
100% Corpus,8,0.31,0.61,-10.47963314239806
100% Corpus,8,0.31,0.9099999999999999,-9.813059039363793
100% Corpus,8,0.31,symmetric,-10.065507358179422
100% Corpus,8,0.61,0.01,-11.781189500455708
100% Corpus,8,0.61,0.31,-10.592214841611941
100% Corpus,8,0.61,0.61,-10.325991627564068
100% Corpus,8,0.61,0.9099999999999999,-10.170943894649394
100% Corpus,8,0.61,symmetric,-10.672383478945488
100% Corpus,8,0.9099999999999999,0.01,-10.9670448901984
100% Corpus,8,0.9099999999999999,0.31,-9.452237395543142
100% Corpus,8,0.9099999999999999,0.61,-9.669890121506795
100% Corpus,8,0.9099999999999999,0.9099999999999999,-9.208645485846779
100% Corpus,8,0.9099999999999999,symmetric,-10.300474224839098
100% Corpus,8,symmetric,0.01,-10.35483144752033
100% Corpus,8,symmetric,0.31,-10.087090323898321
100% Corpus,8,symmetric,0.61,-10.262133291295942
100% Corpus,8,symmetric,0.9099999999999999,-10.199546698197837
100% Corpus,8,symmetric,symmetric,-9.678775929435755
100% Corpus,8,asymmetric,0.01,-9.852784038709114
100% Corpus,8,asymmetric,0.31,-10.215075943083576
100% Corpus,8,asymmetric,0.61,-10.650297445406903
100% Corpus,8,asymmetric,0.9099999999999999,-10.54994499652164
100% Corpus,8,asymmetric,symmetric,-10.636534684051115
100% Corpus,9,0.01,0.01,-9.960040668067526
100% Corpus,9,0.01,0.31,-9.858758160668543
100% Corpus,9,0.01,0.61,-10.006777756560496
100% Corpus,9,0.01,0.9099999999999999,-10.232144901309006
100% Corpus,9,0.01,symmetric,-9.726369303602997
100% Corpus,9,0.31,0.01,-10.725794567949972
100% Corpus,9,0.31,0.31,-10.306668162139303
